TagId,TagName,AssociatedEquipment,Section,SignalType,ParameterName,ParameterType,MeasurementUnit,MinimumRange,MaximumRange,Low,High,CreatedAt,UpdatedAt
TE_733,Alternator B-1 Temp.,Turbine Alternator,Turbine,RTD,Alternator B-1 winding temperature,Temperature,ºC,-200,850,,125,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_901C,ID FAN-A DE Temp.,ID Fan,Boiler,RTD,ID fan-A bearing DE temperature element,Temperature,ºC,-200,850,,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_901D,ID FAN-A NDE Temp.,ID Fan,Boiler,RTD,ID fan-A bearing NDE temperature element,Temperature,ºC,-200,850,,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_902,Furnace Plenum Hopper Temp.,Plenum Hopper,Boiler,T/C,Furnace plenum hopper temperature,Temperature,ºC,-270,1372,,235,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_902C,ID FAN-B DE Temp.,ID Fan,Boiler,RTD,ID fan-B bearing DE temperature element,Temperature,ºC,-200,850,,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_902D,ID FAN-B NDE Temp.,ID Fan,Boiler,RTD,ID fan-B bearing NDE temp element,Temperature,ºC,-200,850,,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_903,Flue Gas Before RSH Temp.,Flue Gas,Boiler,T/C,Flue gas before RSH temperature element,Temperature,ºC,-270,1372,,845,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_903C,SA FAN-A DE Temp.,SA Fan,Boiler,RTD,SA fan-A bearing DE temperature element,Temperature,ºC,-200,850,,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_903D,SA FAN-A NDE Temp.,SA Fan,Boiler,RTD,SA fan-A bearing NDE temperature element,Temperature,ºC,-200,850,,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_904,Flue Gas After RSH Temp.,Flue Gas,Boiler,T/C,Flue gas after RSH temperature element,Temperature,ºC,-270,1372,,780,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_904C,SA FAN-B DE Temp.,SA Fan,Boiler,RTD,SA fan-B bearing DE temperature element,Temperature,ºC,-200,850,,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_904D,SA FAN-B NDE Temp.,SA Fan,Boiler,RTD,SA fan-B bearing NDE temperature element,Temperature,ºC,-200,850,,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_905,Flue Gas After FSH Temp.,Flue Gas,Boiler,T/C,Flue gas after FSH temperature element,Temperature,ºC,-270,1372,,615,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_905C,FD FAN-A DE Temp.,FD Fan,Boiler,RTD,FD fan-A bearing DE temperature element,Temperature,ºC,-200,850,,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_905D,FD FAN-A NDE Temp.,FD Fan,Boiler,RTD,FD fan-A bearing NDE temperature element,Temperature,ºC,-200,850,,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_906,Flue Gas After LTSH Temp.,Flue Gas,Boiler,T/C,Flue gas after LTSH temperature element,Temperature,ºC,-270,1372,,445,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_906C,FD FAN-B DE Temp.,FD Fan,Boiler,RTD,FD fan-B bearing DE temperature element,Temperature,ºC,-200,850,,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_906D,FD FAN-B NDE Temp.,FD Fan,Boiler,RTD,FD fan-B bearing NDE temperature element,Temperature,ºC,-200,850,,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_907,Flue Gas After Eco. Temp.,Flue Gas,Boiler,T/C,Flue gas after economiser temperature,Temperature,ºC,-270,1372,,285,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_908,Flue Gas After APH Temp.,Flue Gas,Boiler,T/C,Flue gas after tubular air heater temperature,Temperature,ºC,-270,1372,,160,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_909,Flue Gas After ESP Temp.,Flue Gas,Boiler,T/C,Flue gas at ESP outlet temperature element,Temperature,ºC,-270,1372,,160,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_913,FD Air After APH Temp,Air,Boiler,T/C,FD air after tubular air heater temperature,Temperature,ºC,-270,1372,,235,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_914,SA Air After APH Temp,Air,Boiler,T/C,SA air after tubular air heater temperature,Temperature,ºC,-270,1372,,235,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TT_101A,Inlet Steam Temp.,30.85 MW Turbine,Turbine,Analog Input,Inlet steam temperature transmitter,Temperature,ºC,0,800,460,545,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TT_506A,Main Steam Temp.,150 TPH Boiler,Boiler,Analog Input,Main steam temperature transmitter,Temperature,ºC,0,800,480,555,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
