TagId,TagName,Area,IOType,Unit,ApplicationName,InstrumentDescription,MinimumRange,MaximumRange,Low,High,CreatedAt,UpdatedAt
TI112,SM-1 Temp Nde Rhs,MILL HOUSE,RTD,캜,Mill_House.TI_112,SM-1 Brg TEMP NDE RHS,-200,850,,70,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
TI113,SM-2 Brg Temp De Lhs,MILL HOUSE,RTD,캜,Mill_House.TI_113,SM-2 Brg TEMP DE LHS,-200,850,,70,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
TI114,SM-2 Brg Temp Nde Lhs,MILL HOUSE,RTD,캜,Mill_House.TI_114,SM-2 Brg TEMP NDE LHS,-200,850,,70,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
TI-120,Shredder Brg Lhs Temp.,MILL HOUSE,RTD,캜,Mill_House.TI_120,SHREDDER Brg LHS TEMP.,-200,850,,63,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
TI-121,Shredder Brg Rhs Temp.,MILL HOUSE,RTD,캜,Mill_House.TI_121,SHREDDER Brg RHS TEMP.,-200,850,,63,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
TI4001,4Th Mill Motor  Temp 1,MILL HOUSE,RTD,캜,Mill_House.TI_4001,4TH MILL MOTOR  TEMP 1,-200,850,,85,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
TI4004,4Th Mill Motor Brg  Temp DE,MILL HOUSE,RTD,캜,Mill_House.TI_4004,4TH MILL MOTOR Brg  TEMP DE,-200,850,,70,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
TI4005,4Th Mill Motor Brg  Temp NDE,MILL HOUSE,RTD,캜,Mill_House.TI_4005,4TH MILL MOTOR Brg  TEMP NDE,-200,850,,70,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
TT_101,Imb Water Temp.,MILL HOUSE,AI,캜,Mill_House.TT_101,Imb WATER TEMPERATURE,0,150,50,76.5,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
VIB101,Shredder Brg Lhs Ver Vib.,MILL HOUSE,AI,RMS,Mill_House.VIB_101,SHREDDER Brg LHS VERTICAL VIBRATION,0,25,,6,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
VIB102,Shredder Brg Lhs Hor Vib.,MILL HOUSE,AI,RMS,Mill_House.VIB_102,SHREDDER Brg LHS HORIZONTAL VIBRATION,0,25,,6,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
VIB103,Shredder Brg Rhs Ver Vib.,MILL HOUSE,AI,RMS,Mill_House.VIB_104,SHREDDER Brg RHS VERTICAL VIBRATION,0,25,,6,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
VIB104,Shredder Brg Rhs Hor Vib.,MILL HOUSE,AI,RMS,Mill_House.VIB_105,SHREDDER Brg RHS HORIZONTAL VIBRATION,0,25,,6,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
VIB105,Shredder Brg Rhs Ax Vib.,MILL HOUSE,AI,RMS,Mill_House.VIB_106,SHREDDER Brg RHS AXIAL VIBRATION,0,25,,6,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
VIB106,Shredder Brg Lhs Ax Vib.,MILL HOUSE,AI,RMS,Mill_House.VIB_103,SHREDDER Brg LHS AXIAL VIBRATION,0,25,,6,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
XO_RJS1,1St Stage  Rotary Juice Screen Line Run,MILL HOUSE,DI,Run,Mill_House.XO_RJS1,1ST STAGE  ROTARY JUICE SCREEN LINE RUN,0,1,,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
